Date,Infectes,Change,Croissance
01/22/20,571,,
01/23/20,830,259,
01/24/20,1287,457,1.76447876447876
01/25/20,1975,688,1.5054704595186
01/26/20,2744,769,1.11773255813954
01/27/20,4515,1771,2.30299089726918
01/28/20,5974,1459,0.823828345567476
01/29/20,7711,1737,1.19054146675805
01/30/20,9692,1981,1.14047207829591
01/31/20,11791,2099,1.05956587582029
02/01/20,14380,2589,1.2334444973797
02/02/20,17205,2825,1.09115488605639
02/03/20,20440,3235,1.14513274336283
02/04/20,24324,3884,1.20061823802164
02/05/20,28018,3694,0.951081359423275
02/06/20,31161,3143,0.850839198700596
02/07/20,34546,3385,1.07699650015908
02/08/20,37198,2652,0.783456425406204
02/09/20,40171,2973,1.1210407239819
02/10/20,42638,2467,0.829801547258661
02/11/20,44653,2015,0.81678151601135
02/12/20,58761,14108,7.0014888337469
02/13/20,63851,5090,0.360788205273604
02/14/20,66492,2641,0.518860510805501
02/15/20,68500,2008,0.760318061340401
02/16/20,70548,2048,1.0199203187251
02/17/20,72436,1888,0.921875
02/18/20,74185,1749,0.926377118644068
02/19/20,74576,391,0.223556317895941
02/20/20,75465,889,2.27365728900256
02/21/20,76288,823,0.925759280089989
02/22/20,76936,648,0.787363304981774
02/23/20,77150,214,0.330246913580247
02/24/20,77658,508,2.37383177570093
02/25/20,78064,406,0.799212598425197
02/26/20,78497,433,1.06650246305419
02/27/20,78824,327,0.755196304849885
02/28/20,79251,427,1.30581039755352
02/29/20,79824,573,1.34192037470726
03/01/20,80026,202,0.352530541012216
03/02/20,80151,125,0.618811881188119
03/03/20,80270,119,0.952
03/04/20,80409,139,1.16806722689076
03/05/20,80552,143,1.02877697841727
03/06/20,80651,99,0.692307692307692
03/07/20,80695,44,0.444444444444444
03/08/20,80735,40,0.909090909090909
03/09/20,80754,19,0.475
03/10/20,80778,24,1.26315789473684
03/11/20,80793,15,0.625
03/12/20,80813,20,1.33333333333333
03/13/20,80824,11,0.55
04/14/20,80844,20,1.81818181818182
