Date,Infectes,Croissance
02/24/20,12,1.16666666666667
02/25/20,14,1.28571428571429
02/26/20,18,2.11111111111111
02/27/20,38,1.5
02/28/20,57,1.75438596491228
02/29/20,100,1.3
03/01/20,130,1.46923076923077
03/02/20,191,1.10994764397906
03/03/20,212,1.34433962264151
03/04/20,285,1.48421052631579
03/05/20,423,1.44917257683215
03/06/20,613,1.54812398042414
03/07/20,949,1.28661749209694
03/08/20,1221,1.16871416871417
03/09/20,1427,1.32305536089699
03/10/20,1888,1.25953389830508
03/11/20,2378,1.21488645920942
03/12/20,2889,1.31983385254413
03/13/20,3813,1.25386834513506
03/14/20,4781,1.13930140138046
03/15/20,5447,
