Date,Infectes,Croissance
22/01/20,571,1.45359019264448
23/01/20,830,1.55060240963855
24/01/20,1287,1.53457653457653
25/01/20,1975,1.38936708860759
26/01/20,2744,1.64540816326531
27/01/20,4515,1.32314507198228
28/01/20,5974,1.29075995982591
29/01/20,7711,1.25690571910258
30/01/20,9692,1.21657036731325
31/01/20,11791,1.21957425154779
01/02/20,14380,1.19645340751043
02/02/20,17205,1.18802673641383
03/02/20,20440,1.19001956947162
04/02/20,24324,1.1518664693307
05/02/20,28018,1.11217788564494
06/02/20,31161,1.10862937646417
07/02/20,34546,1.07676720893881
08/02/20,37198,1.07992365180924
09/02/20,40171,1.06141246172612
10/02/20,42638,1.04725831417984
11/02/20,44653,1.31594741674692
12/02/20,58761,1.08662207927026
13/02/20,63851,1.04136192072168
14/02/20,66492,1.03019912169885
15/02/20,68500,1.02989781021898
16/02/20,70548,1.02676192096161
17/02/20,72436,1.02414545253741
18/02/20,74185,1.00527060726562
19/02/20,74576,1.01192072516627
20/02/20,75465,1.01090571788246
21/02/20,76288,1.00849412751678
22/02/20,76936,1.00278153270251
23/02/20,77150,1.00658457550227
24/02/20,77658,1.00522805119885
25/02/20,78064,1.00554673088748
26/02/20,78497,1.00416576429672
27/02/20,78824,1.00541713183802
28/02/20,79251,1.00723019267896
29/02/20,79824,1.00253056724795
01/03/20,80026,1.00156199235249
02/03/20,80151,1.00148469763322
03/03/20,80270,1.00173165566214
04/03/20,80409,1.00177840788966
05/03/20,80552,1.00122901976363
06/03/20,80651,1.00054556050142
07/03/20,80695,1.00049569366132
08/03/20,80735,1.00023533783365
09/03/20,80754,1.00029719890036
10/03/20,80778,1.00018569412464
11/03/20,80793,1.00024754619831
12/03/20,80813,1.0001361167139
13/02/20,80824,1.0002474512521
14/03/20,80844,1.0001979120281
15/03/20,80860,
