Date,Infectes,Croissance
24/02/20,12,1.16666666666667
25/02/20,14,1.28571428571429
26/02/20,18,2.11111111111111
27/02/20,38,1.5
28/02/20,57,1.75438596491228
29/02/20,100,1.3
01/03/20,130,1.46923076923077
02/03/20,191,1.10994764397906
03/03/20,212,1.34433962264151
04/03/20,285,1.48421052631579
05/03/20,423,1.44917257683215
06/03/20,613,1.54812398042414
07/03/20,949,1.28661749209694
08/03/20,1221,1.16871416871417
09/03/20,1427,1.32305536089699
10/03/20,1888,1.25953389830508
11/03/20,2378,1.21488645920942
12/03/20,2889,1.31983385254413
13/03/20,3813,1.25386834513506
14/03/20,4781,1.13930140138046
15/03/20,5447,
